Date	Site	Temp.avg	Temp.max
2022-07-05	Big Poe	18.51503125	23.521
2022-07-06	Big Poe	17.7440208333333	18.461
2022-07-07	Big Poe	17.99875	18.604
2022-07-08	Big Poe	18.5462083333333	19.888
2022-07-08	East Branch	16.3367222222222	16.713
2022-07-09	Big Poe	18.8265833333333	19.674
2022-07-09	East Branch	16.26115625	16.7605
2022-07-10	Big Poe	17.4745833333333	18.961
2022-07-10	East Branch	15.8637395833333	16.6415
2022-07-11	Big Poe	17.332375	19.246
2022-07-11	East Branch	15.8700416666667	16.8205
2022-07-11	Shaver's Creek	20.82390625	23.304
2022-07-12	Big Poe	18.5074791666667	19.817
2022-07-12	East Branch	16.2723229166667	16.9985
2022-07-12	Shaver's Creek	19.6364166666667	21.294
2022-07-13	Big Poe	18.7884583333333	20.15
2022-07-13	East Branch	16.46215625	17.2365
2022-07-13	Shaver's Creek	20.0448958333333	21.533
2022-07-13	Standing Stone	19.15103125	24.919
2022-07-14	Big Poe	18.6740416666667	19.841
2022-07-14	East Branch	16.4164583333333	17.0105
2022-07-14	Shaver's Creek	20.1044166666667	21.843
2022-07-14	Standing Stone	15.9750208333333	17.915
2022-07-15	Big Poe	17.6477659574468	18.889
2022-07-15	East Branch	15.9772916666667	16.7845
2022-07-15	Shaver's Creek	19.0508125	21.103
2022-07-15	Standing Stone	15.1415208333333	17.011
2022-07-16	Big Poe	17.2575208333333	18.557
2022-07-16	East Branch	16.10509375	17.0105
2022-07-16	Shaver's Creek	18.9264166666667	20.674
2022-07-16	Standing Stone	15.0967083333333	17.153
2022-07-17	Big Poe	18.0071458333333	18.889
2022-07-17	East Branch	16.2951458333333	16.7845
2022-07-17	Shaver's Creek	19.1214791666667	19.912
2022-07-17	Standing Stone	15.2018958333333	16.63
2022-07-18	Big Poe	18.576875	19.484
2022-07-18	East Branch	16.3591979166667	16.8675
2022-07-18	Shaver's Creek	19.4127291666667	20.15
2022-07-18	Standing Stone	15.4293541666667	16.701
2022-07-19	Big Poe	19.251	20.793
2022-07-19	East Branch	16.7643125	17.7125
2022-07-19	Shaver's Creek	20.3783482142857	25.355
2022-07-19	Standing Stone	16.88725	19.246
2022-07-20	Big Poe	20.0097708333333	21.795
2022-07-20	East Branch	17.2173229166667	18.295
2022-07-20	Shaver's Creek	19.6552638888889	22
2022-07-20	Standing Stone	17.7861761904762	19.5555
2022-07-21	Big Poe	20.5831041666667	21.939
2022-07-21	East Branch	17.7596041666667	18.628
2022-07-21	Shaver's Creek	20.2216666666667	22.587
2022-07-21	Standing Stone	17.7092881944444	19.4485
2022-07-22	Big Poe	20.2341875	21.628
2022-07-22	East Branch	16.6466881188119	18.0253333333333
2022-07-22	Shaver's Creek	19.782744212963	21.4253333333333
2022-07-22	Standing Stone	17.3367361111111	19.377
2022-07-23	Big Poe	20.54675	22.298
2022-07-23	East Branch	16.2911296296296	18.239
2022-07-23	Shaver's Creek	20.0186226851852	22.0713333333333
2022-07-23	Standing Stone	18.026505787037	21.25
2022-07-24	Big Poe	20.8010416666667	22.465
2022-07-24	East Branch	16.3258425925926	18.4133333333333
2022-07-24	Shaver's Creek	19.8918796296296	21.7756666666667
2022-07-24	Standing Stone	17.8943761574074	21.442
2022-07-25	Big Poe	21.07275	21.939
2022-07-25	East Branch	16.430900462963	17.8506666666667
2022-07-25	Shaver's Creek	20.0883483796296	21.3363333333333
2022-07-25	Standing Stone	17.9926736111111	20.3096666666667
2022-07-26	Big Poe	18.9395416666667	20.222
2022-07-26	East Branch	15.5162673611111	17.0733333333333
2022-07-26	Shaver's Creek	18.5893958333333	19.9206666666667
2022-07-26	Standing Stone	16.7418958333333	19.0163333333333
2022-07-27	Big Poe	18.389625	19.151
2022-07-27	East Branch	15.1717256944444	16.3305
2022-07-27	Shaver's Creek	18.0214722222222	18.985
2022-07-27	Standing Stone	16.4055069444444	18.88425
2022-07-28	Big Poe	19.3493958333333	20.365
2022-07-28	East Branch	15.6099444444444	17.0575
2022-07-28	Shaver's Creek	18.7527835648148	20.0326666666667
2022-07-28	Standing Stone	17.0410920138889	18.7466666666667
