Sample ID	Length (mm)	Weight (g)
EB004	133	24
EB005	135	20
EB006	154	27
SCA006	174	49
SCA007	195	73
SCA009	157	58
SCA010	210	92
SCA011	188	69
SCA012	204	91
SCA013	145	30
SCA014	174	53
SCA021	133	23
SS010	193	79
SS011	137	21
SS012	132	28
SS013	133	31
SS014	168	57
SS015	125	26
BP022	148	32
BP023	155	35
BP024	134	24
BP025	124	16
BP026	152	33
SCA022	142	27
SCA023	144	29
SCA024	142	28
SCA025	137	23
SCA026	138	24
SCA027	151	32
SCA028	176	49
SCA029	140	25
SCA030	119	13
SCA033	211	92
SCA034	134	23
EB007	138	26
EB008	182	65
EB009	141	26
EB010	115	16
EB013	151	34
SS016	126	18
SS017	204	80
SS018	222	104
SS019	209	86
SS020	119	16
SS021	159	16
SS022	156	35
SS023	131	43
SS024	124	23
SS025	174	51
BP027	139	22
BP028	177	53
BP029	143	25
BP031	155	28
BP032	143	17
BP033	161	39
BP034	234	112
EB014	152	33
EB015	166	43
EB016	119	15
EB017	110	11
EB018	155	34
SCA035	200	71
SCA036	219	88
SCA038	186	57
SCA039	135	24
SCA040	201	80
SCA041	169	46
SCA042	138	25
SCA043	191	61
SCA044	175	54
SCA045	152	32
BP035	171	51
BP036	122	19
BP037	179	55
BP038	132	23
BP039	136	24
BP040	107	15
BP041	178	58
SS026	163	43
SS027	133	24
SS028	225	103
SS029	143	26
SS030	125	21
SS031	123	16
SS032	157	35
BP042	154	34
BP044	179	60
BP045	217	93
BP046	184	56
BP047	154	39
BP048	143	24
SS033	166	47
SS034	116	16
SS035	174	49
SS036	118	15
SCA046	181	63
SCA049	134	21
SCA048	145	28
SCA050	126	19
SCA051	123	18
EB019	153	38
EB020	130	22
EB021	150	35
EB022	133	24
EB023	108	14
BP049	131	15
BP050	154	29
BP051	129	18
BP052	126	15
BP053	160	34
SS037	120	19
SS038	223	97
SS039	140	26
SS040	187	58
SS041	221	107
SS042	260	167
SS043	165	45
SS044	139	26
SS045	118	16
EB024	131	21
EB025	155	36
EB026	142	28
EB028	114	13
EB027	121	15
SCA052	132	20
SCA053	129	21
SCA054	125	18
SCA055	127	19
SCA056	161	39
BP054	173	47
BP055	151	31
BP056	153	36
BP057	131	22
BP058	185	63
BP060	172	47
SS046	188	61
SS047	201	74
SS048	184	60
SS049	143	27
SS050	115	15
SCA057	112	12
SCA058	114	15
SCA059	176	52
SCA060	158	36
SCA061	181	59
EB029	148	27
EB030	149	32
EB031	118	15
EB032	143	27
EB033	117	16
BP059	189	67
BP060	174	52
BP061	129	17
BP062	192	66
BP063	148	33
BP064	124	19
SS051	180	53
SS052	118	16
SS053	159	39
SS054	158	36
EB034	175	49
EB035	179	53
EB036	144	28
EB037	113	14
EB038	130	22
SCA062	135	24
SCA063	139	26
SCA064	148	31
SCA065	127	19
SCA066	123	17
SS055	123	19
SS056	134	22
SS057	166	46
SS058	137	20
SS059	114	14
SS061	156	36
BP065	125	19
BP066	124	20
BP067	185	63
BP068	165	41
BP069	131	21
SCA067	167	33
SCA068	165	43
SCA069	182	57
SCA070	156	36
SCA071	129	21
EB039	134	20
EB040	139	40
EB041	152	34
EB042	180	58
EB043	171	46
BP070	116	10
BP071	133	22
BP072	167	47
BP073	157	38
BP074	122	19
BP075	125	16
BP076	146	26
BP077	279	188
SS060	162	40
SS061	175	52
SS062	121	23
SS063	145	29
SS064	154	35
SS065	147	28
SS066	126	17
EB044	137	28
EB045	141	30
EB046	150	36
EB047	117	12
EB048	130	23
SCA072	176	59
SCA073	147	31
SCA074	135	21
SCA075	136	25
