Sample_ID	Sex
BP022	M
BP023	F
BP024	M
BP027	F
BP028	M
BP031	F
BP032	M
BP038	F
BP039	F
BP040	M
BP041	F
BP042	F
BP044	F
BP046	F
BP048	M
BP049	M
BP050	M
BP051	F
BP053	M
BP054	M
BP055	F
BP057	M
BP058	F
BP059	M
BP061	F
BP063	M
BP064	F
BP070	F
BP073	F
BP075	F
BP076	F
EB004	M
EB005	F
EB006	F
EB007	M
EB008	M
EB009	F
EB013	F
EB014	M
EB016	M
EB017	F
EB018	F
EB019	F
EB022	F
EB023	F
EB024	F
EB025	M
EB026	M
EB027	F
EB029	F
EB031	F
EB032	F
EB035	M
EB036	M
EB037	F
EB044	F
EB045	F
EB047	F
EB048	M
SCA007	F
SCA009	F
SCA014	F
SCA022	F
SCA027	M
SCA028	F
SCA033	M
SCA040	F
SCA041	M
SCA044	M
SCA045	F
SCA046	F
SCA048	F
SCA049	M
SCA051	F
SCA052	M
SCA054	F
SCA055	F
SCA056	F
SCA057	F
SCA058	M
SCA060	F
SCA061	M
SCA062	M
SCA063	F
SCA065	M
SCA072	F
SCA073	M
SCA074	F
SCA075	F
SS011	F
SS013	M
SS014	M
SS020	F
SS021	M
SS022	M
SS023	M
SS026	M
SS029	M
SS031	F
SS032	F
SS034	F
SS035	M
SS036	F
SS037	M
SS039	F
SS043	M
SS045	M
SS046	F
SS047	M
SS048	M
SS050	F
SS051	F
SS052	F
SS053	M
SS054	M
SS060	F
SS063	F
SS064	F
SS066	F
