Eigengene	Temperature	Date	Sex	Length	Site	Temp:BP	Temp:EB	Temp:SC	Temp:SS	Temp:Date
midnightblue	1	1	1	1	1	0.000936	1	0.011656	1	1
lightcyan	1	1	1	1	0.000146	3.18E-06	1	1	1	1
magenta	1	1	1	1	1	0.0284	1	1	1	1
darkgreen	1	1	1	1	0.002494	0.000982	1	1	1	1
blue	1	0.039879	1	1	0.000107	0.001699	1	1	1	1
greenyellow	1	0.000406	1	1	1	1	1	1	1	1
turquoise	1	1	1	1	0.0356	1	1	1	1	1
brown	1	1	1	1	1	1	1	1	1	1
tan	1	1	1	1	0.000606	2.29E-05	1	1	1	1
yellow	1	0.00651	1	1	1	1	1	1	1	1
grey	2.00E-16	0.00364	1	1	2.00E-16	1	1	1	0.00731	1
lightgreen	2.00E-16	0.000108	1	1	0.003591	1	1	1	1	1
darkred	1	0.004631	1	1	2.00E-16	1	1	0.000151	1	1
pink	1	1	1	0.0473	2.00E-16	1	1	1	1	1
orange	1	0.0308	1	1	2.00E-16	0.0208	1	1	1	1
white	1	0.013	1	0.0359	2.15E-06	1	1	1	0.0132	1
darkorange	1	4.87E-05	0.0059	0.00201	0.03149	1	1	2.00E-16	0.01037	1
saddlebrown	1	1	1	1	2.00E-16	1	1	1	1	0.0241
paleturquoise	1	1	1	1	2.00E-16	1	1	1	1	1
violet	1	1	1	1	1	1	2.00E-16	1	2.00E-16	1
royalblue	1	1	1	1	2.00E-16	1	1	1	1	1
steelblue	1	0.0129	1	1	1	1	2.00E-16	1	2.00E-16	1
salmon	0.049708	1	1	1	1	1	2.00E-16	0.63805	0.000118	1
purple	2.00E-16	0.007216	1	1	1	1	1	0.000372	0.011298	1
grey60	1	1	1	1	1	1	2.00E-16	0.0454	6.87E-05	1
lightyellow	1	1	1	1	2.00E-16	0.0192	1	1	1	1
darkgrey	1	0.038449	1	1	1	0.03344	1.00E+00	0.000115	1	1
red	1	0.00861	1	1	1	1	1	1	1	1
black	1	1	1	1	1	1	1	1	1	1
cyan	1	1	1	1	1	1	0.0259	1	1	1
darkturquoise	1.75E-05	1	1	1	1	1	1	1	0.00418	1
skyblue	1	1	1	1	1	1	1	1	0.0289	1
green	1	0.00628	1	1	0.03019	1	1	1	1	1
