#Cfactor 0.025479
Recipient	BP028	BP031	BP044	BP046	BP049	BP053	BP055	BP057	BP059	BP063	EB008	EB013	EB019	EB023	EB025	EB026	EB027	EB031	EB032	EB036	EB048	SCA007	SCA014	SCA033	SCA040	SCA045	SCA046	SCA052	SCA054	SCA056	SCA057	SCA058	SCA060	SCA062	SCA073	SCA074	SCA075	SS021	SS022	SS035	SS039	SS043	SS045	SS048	SS054	SS060	SS064	SS066
BP028	0	305.038	304.439	322.576	316.777	293.366	309.722	307.928	309.966	326.839	260.411	261.256	261.887	253.747	256.702	258.366	255.737	254.591	255.251	258.308	262.004	249.84	250.396	253.086	250.903	253.794	252.634	252.491	257.915	250.633	251.025	250.669	251.85	256.364	253.812	255.619	250.977	257.137	262.53	261.191	261.362	262.805	263.49	263.055	257.366	265.901	262.433	266.809
BP031	305.365	0	338.608	314.298	299.502	323.133	313.729	309.196	306.755	309.606	259.873	260.6	258.993	257.034	258.902	261.164	257.3	262.929	258.292	255.665	258.835	247.163	251.156	248.206	248.242	250.837	257.237	254.627	252.599	251.403	252.544	251.779	248.911	255.006	248.492	253.664	247.156	258.38	264.372	260.632	262.236	259.325	257.945	268.537	258.155	262.209	260.092	260.317
BP044	305.27	338.777	0	310.046	309.204	343.466	312.437	321.471	308.851	297.363	253.946	258.981	257.3	259.445	259.107	258.789	258.317	257.214	257.773	255.741	257.154	245.438	250.001	246.689	246.532	247.931	253.513	258.253	253.877	251.83	253.348	252.89	250.082	255.729	253.338	252.306	252.36	257.558	265.421	257.914	264.304	259.82	257.284	259.719	257.983	256.354	260.429	259.445
BP046	323.723	313.933	310.67	0	294.344	292.273	291.436	309.471	362.418	303.641	257.554	259.014	257.218	256.83	258.514	255.429	254.778	253.539	256.719	256.392	257.087	250.261	254.577	251.048	252.164	251.555	254.315	253.15	256.874	252.652	255.59	254.17	251.005	254.172	253.484	256.774	253.617	259.468	262.888	259.659	262.395	262.367	260.889	262.752	259.682	265.314	263.601	261.594
BP049	315.72	298.896	309.058	293.35	0	336.535	317.135	334.595	299.48	314.877	257.163	256.394	260.867	255.428	261.164	262.299	256.52	256.261	254.365	256.095	257.737	254.624	251.776	250.314	251.303	251.57	252.021	255.013	253.729	252.13	251.047	249.406	252.575	261.352	252.723	255.765	252.889	254.878	269.846	255.934	265.55	264.038	256.685	256.491	255.351	260.564	257.788	261.702
BP053	293.94	323.709	343.178	292.819	338.118	0	317.577	302.776	287.238	301.51	258.154	256.537	259.197	252.756	255.116	261.851	252.314	254.162	254.299	255.006	257.39	252.52	251.078	252.477	250.411	253.399	257.404	259.171	255.345	258.584	254.65	251.588	258.474	261.478	256.432	258.238	256.033	256.649	267.363	260.687	262.511	258.6	254.887	265.283	255.724	257.513	259.883	256.969
BP055	309.81	312.77	312.715	290.811	317.231	315.933	0	302.414	295.052	291.604	257.18	262.338	264.387	259.41	257.536	260.919	257.539	254.656	261.176	256.799	253.835	251.764	248.35	251.925	254.583	250.771	256.506	263.027	254.235	259.613	258.383	256.81	254.95	259.865	253.168	259.282	259.893	256.786	264.539	256.815	263.483	262.937	258.454	270.053	255.498	261.383	259.322	264.488
BP057	308.27	308.406	320.568	308.164	334.641	301.692	301.919	0	309.503	308.659	259.017	257.929	257.727	258.354	262.326	258.932	255.246	254.989	258.366	254.921	257.891	250.966	252.127	250.291	248.423	253.014	253.219	255.912	257.18	251.428	252.423	252.052	252.025	258.465	255.423	255.725	250.266	259.657	263.841	261.083	265.183	260.991	260.139	263.183	262.348	259.726	258.527	259.865
BP059	310.663	306.977	309.357	361.116	299.955	286.518	295.164	309.791	0	293.106	258.528	258.303	258.755	256.894	255.807	260.974	255.455	256.914	258.649	257.8	258.02	250.392	251.768	249.569	254.442	251.582	255.361	254.719	255.428	254.858	254.744	254.105	252.277	256.262	254.873	256.733	253.844	259.17	258.676	259.924	264.673	260.33	264.967	265.151	260.476	264.385	265.249	268.298
BP063	327.163	308.901	297.022	303.302	315.035	300.827	291.549	308.711	292.589	0	260.448	258.096	257.238	255.047	256.572	260.769	254.196	255.42	254.658	254.57	260.349	260.09	253.795	258.362	255.012	248.904	256.359	260.528	257.781	258.202	258.825	258.577	254.577	262.143	257.569	260.625	251.118	251.925	272.009	256.759	264.812	277.96	257.666	262.834	252.344	258.686	257.043	264.036
EB008	260.541	259.862	254.633	257.855	256.899	257.369	256.861	259.529	259.263	260.65	0	287.809	298.386	293.097	304.778	297.43	293.266	301.239	290.572	301.393	297.671	250.032	251.436	249.21	250.708	252.379	254.85	252.925	251.663	250.639	252.08	250.914	252.94	257.26	254.104	257.532	252.127	270.13	271.168	267.65	272.732	269.215	273.506	271.604	271.2	268.005	268.198	267.692
EB013	262.012	260.922	259.364	258.94	256.68	256.255	262.817	259.183	258.628	258.162	288.386	0	296.306	315.881	301.582	292.425	292.983	295.174	319.229	295.312	288.346	252.902	252.671	250.391	253.299	251.712	257.069	253.123	253.41	251.22	251.736	255.087	254.306	254.011	250.49	255.689	257.054	264.075	265.812	267.961	263.046	265.491	267.43	268.815	262.955	268.797	266.301	267.56
EB019	262.203	258.444	257.693	256.928	260.888	258.832	264.356	257.957	258.878	257.19	297.87	295.639	0	298.028	299.037	294.027	295.396	302.074	302.542	298.944	298.457	249.75	255.463	247.484	249.27	255.051	253.909	254.387	253.7	252.878	252.338	251.95	251.417	255.339	251.167	255.169	252.009	266.756	269.299	267.398	267.057	265.452	263.458	271.884	266.21	270.986	267.13	268.709
EB023	253.418	256.722	258.843	255.967	254.87	251.758	259.071	257.965	256.557	254.911	292.434	314.188	297.421	0	302.186	287.787	298.812	299.009	384.305	300.262	289.963	248.488	250.593	247.972	250.219	249.134	252.072	250.717	257.012	251.227	248.35	249.353	249.061	247.203	251.713	251.596	250.774	263.862	262.764	269.241	268.76	267.123	267.974	266.35	264.394	265.113	267.928	265.559
EB025	256.475	258.594	258.977	257.805	261.138	254.046	257.252	261.895	255.719	256.265	303.726	300.183	298.845	301.754	0	293.241	299.842	302.908	297.941	312.73	299.551	251.559	250.922	250.755	249.901	250.681	256.414	251.641	252.61	250.727	248.182	252.808	247.513	256.642	253.417	254.087	250.15	266.768	267.977	267.864	268.179	267.116	268.578	272.434	267.323	266.815	265.516	265.532
EB026	258.399	262.195	259.057	255.318	262.823	261.671	261.29	259.228	261.241	261.184	296.793	292.496	294.996	288.449	293.809	0	293.313	294.342	287.91	296.108	293.446	251.743	254.722	251.147	253.068	259.875	253.956	253.359	255.159	251.652	254.693	255.045	252.393	257.453	251.651	255.641	252.45	265.946	266.639	271.446	271.217	274.667	268.345	277.29	267.049	268.252	268.032	264.041
