Sample_ID	Date	Site	Weight	Length	DailyAvgTemp	DailyMaxTemp	DailyTempSD	24h_TempChange	72h_TempChange	24h_Stress	72h_Stress	Sample_Period
BP022	2022-07-20	Big Poe	32	148	20.0097708333333	21.795	1.11627002833207	0.892562499999997	0.888999999999999	0	0	1
BP023	2022-07-20	Big Poe	35	155	20.0097708333333	21.795	1.11627002833207	0.892562499999997	0.888999999999999	0	0	1
BP024	2022-07-20	Big Poe	24	134	20.0097708333333	21.795	1.11627002833207	0.892562499999997	0.888999999999999	0	0	1
BP025	2022-07-20	Big Poe	16	124	20.0097708333333	21.795	1.11627002833207	0.892562499999997	0.888999999999999	0	0	1
BP026	2022-07-20	Big Poe	33	152	20.0097708333333	21.795	1.11627002833207	0.892562499999997	0.888999999999999	0	0	1
BP027	2022-07-23	Big Poe	22	139	20.54675	22.298	1.07835626489697	-0.154166666666665	0.173000000000002	13	42	2
BP028	2022-07-23	Big Poe	53	177	20.54675	22.298	1.07835626489697	-0.154166666666665	0.173000000000002	13	42	2
BP029	2022-07-23	Big Poe	25	143	20.54675	22.298	1.07835626489697	-0.154166666666665	0.173000000000002	13	42	2
BP031	2022-07-23	Big Poe	28	155	20.54675	22.298	1.07835626489697	-0.154166666666665	0.173000000000002	13	42	2
BP032	2022-07-23	Big Poe	17	143	20.54675	22.298	1.07835626489697	-0.154166666666665	0.173000000000002	13	42	2
BP037	2022-07-27	Big Poe	55	179	18.389625	19.151	0.671695809603051	-1.81210416666666	-2.527	0	44	3
BP038	2022-07-27	Big Poe	23	132	18.389625	19.151	0.671695809603051	-1.81210416666666	-2.527	0	44	3
BP039	2022-07-27	Big Poe	24	136	18.389625	19.151	0.671695809603051	-1.81210416666666	-2.527	0	44	3
BP040	2022-07-27	Big Poe	15	107	18.389625	19.151	0.671695809603051	-1.81210416666666	-2.527	0	44	3
BP041	2022-07-27	Big Poe	58	178	18.389625	19.151	0.671695809603051	-1.81210416666666	-2.527	0	44	3
BP042	2022-08-01	Big Poe	34	154	18.5908333333333	19.912	0.788895493263069	-0.326291666666666	-1.461	0	0	4
BP044	2022-08-01	Big Poe	60	179	18.5908333333333	19.912	0.788895493263069	-0.326291666666666	-1.461	0	0	4
BP046	2022-08-01	Big Poe	56	184	18.5908333333333	19.912	0.788895493263069	-0.326291666666666	-1.461	0	0	4
BP047	2022-08-01	Big Poe	39	154	18.5908333333333	19.912	0.788895493263069	-0.326291666666666	-1.461	0	0	4
BP048	2022-08-01	Big Poe	24	143	18.5908333333333	19.912	0.788895493263069	-0.326291666666666	-1.461	0	0	4
BP049	2022-08-04	Big Poe	15	131	19.7178333333333	21.342	0.770921452889218	-0.0145416666666662	0.399000000000001	0	0	5
BP050	2022-08-04	Big Poe	29	154	19.7178333333333	21.342	0.770921452889218	-0.0145416666666662	0.399000000000001	0	0	5
BP051	2022-08-04	Big Poe	18	129	19.7178333333333	21.342	0.770921452889218	-0.0145416666666662	0.399000000000001	0	0	5
BP052	2022-08-04	Big Poe	15	126	19.7178333333333	21.342	0.770921452889218	-0.0145416666666662	0.399000000000001	0	0	5
BP053	2022-08-04	Big Poe	34	160	19.7178333333333	21.342	0.770921452889218	-0.0145416666666662	0.399000000000001	0	0	5
BP054	2022-08-08	Big Poe	47	173	21.2344375	22.657	0.882962491824021	0.0605208333333351	0.934000000000001	27	54	6
BP055	2022-08-08	Big Poe	31	151	21.2344375	22.657	0.882962491824021	0.0605208333333351	0.934000000000001	27	54	6
BP056	2022-08-08	Big Poe	36	153	21.2344375	22.657	0.882962491824021	0.0605208333333351	0.934000000000001	27	54	6
BP057	2022-08-08	Big Poe	22	131	21.2344375	22.657	0.882962491824021	0.0605208333333351	0.934000000000001	27	54	6
BP058	2022-08-08	Big Poe	63	185	21.2344375	22.657	0.882962491824021	0.0605208333333351	0.934000000000001	27	54	6
BP059	2022-08-11	Big Poe	67	189	20.0524375	21.366	0.757764318220438	-0.657229166666667	-1.607	15	71	7
BP061	2022-08-11	Big Poe	17	129	20.0524375	21.366	0.757764318220438	-0.657229166666667	-1.607	15	71	7
BP062	2022-08-11	Big Poe	66	192	20.0524375	21.366	0.757764318220438	-0.657229166666667	-1.607	15	71	7
BP063	2022-08-11	Big Poe	33	148	20.0524375	21.366	0.757764318220438	-0.657229166666667	-1.607	15	71	7
BP064	2022-08-11	Big Poe	19	124	20.0524375	21.366	0.757764318220438	-0.657229166666667	-1.607	15	71	7
BP065	2022-08-15	Big Poe	19	125	16.8007708333333	17.415	0.281523986324232	0.569714285714287	-0.995999999999999	0	0	8
BP066	2022-08-15	Big Poe	20	124	16.8007708333333	17.415	0.281523986324232	0.569714285714287	-0.995999999999999	0	0	8
BP067	2022-08-15	Big Poe	63	185	16.8007708333333	17.415	0.281523986324232	0.569714285714287	-0.995999999999999	0	0	8
BP068	2022-08-15	Big Poe	41	165	16.8007708333333	17.415	0.281523986324232	0.569714285714287	-0.995999999999999	0	0	8
BP069	2022-08-15	Big Poe	21	131	16.8007708333333	17.415	0.281523986324232	0.569714285714287	-0.995999999999999	0	0	8
BP070	2022-08-18	Big Poe	10	116	16.3705416666667	18.129	1.13064491027049	-0.83741666666667	-2.439	0	0	9
BP071	2022-08-18	Big Poe	22	133	16.3705416666667	18.129	1.13064491027049	-0.83741666666667	-2.439	0	0	9
BP072	2022-08-18	Big Poe	47	167	16.3705416666667	18.129	1.13064491027049	-0.83741666666667	-2.439	0	0	9
BP073	2022-08-18	Big Poe	38	157	16.3705416666667	18.129	1.13064491027049	-0.83741666666667	-2.439	0	0	9
BP075	2022-08-18	Big Poe	16	125	16.3705416666667	18.129	1.13064491027049	-0.83741666666667	-2.439	0	0	9
BP076	2022-08-18	Big Poe	26	146	16.3705416666667	18.129	1.13064491027049	-0.83741666666667	-2.439	0	0	9
EB004	2022-07-19	East Branch	24	133	16.7643125	17.7125	0.670938661503419	0.0823854166666678	-0.142000000000001	0	0	1
EB005	2022-07-19	East Branch	20	135	16.7643125	17.7125	0.670938661503419	0.0823854166666678	-0.142000000000001	0	0	1
EB006	2022-07-19	East Branch	27	154	16.7643125	17.7125	0.670938661503419	0.0823854166666678	-0.142000000000001	0	0	1
EB007	2022-07-22	East Branch	26	138	16.6466881188119	18.0253333333333	0.820253277843485	0.25	-1.7175	0	0	2
EB008	2022-07-22	East Branch	65	182	16.6466881188119	18.0253333333333	0.820253277843485	0.25	-1.7175	0	0	2
EB009	2022-07-22	East Branch	26	141	16.6466881188119	18.0253333333333	0.820253277843485	0.25	-1.7175	0	0	2
EB010	2022-07-22	East Branch	16	115	16.6466881188119	18.0253333333333	0.820253277843485	0.25	-1.7175	0	0	2
EB013	2022-07-22	East Branch	34	151	16.6466881188119	18.0253333333333	0.820253277843485	0.25	-1.7175	0	0	2
EB014	2022-07-26	East Branch	33	152	15.5162673611111	17.0733333333333	0.629508558898138	-0.277745370370369	-1.151	0	0	3
EB015	2022-07-26	East Branch	43	166	15.5162673611111	17.0733333333333	0.629508558898138	-0.277745370370369	-1.151	0	0	3
EB016	2022-07-26	East Branch	15	119	15.5162673611111	17.0733333333333	0.629508558898138	-0.277745370370369	-1.151	0	0	3
